11,0,北京市,provincetr
12,0,天津市,provincetr
13,0,河北省,provincetr
14,0,山西省,provincetr
15,0,内蒙古自治区,provincetr
21,0,辽宁省,provincetr
22,0,吉林省,provincetr
23,0,黑龙江省,provincetr
31,0,上海市,provincetr
32,0,江苏省,provincetr
33,0,浙江省,provincetr
34,0,安徽省,provincetr
35,0,福建省,provincetr
36,0,江西省,provincetr
37,0,山东省,provincetr
41,0,河南省,provincetr
42,0,湖北省,provincetr
43,0,湖南省,provincetr
44,0,广东省,provincetr
45,0,广西壮族自治区,provincetr
46,0,海南省,provincetr
50,0,重庆市,provincetr
51,0,四川省,provincetr
52,0,贵州省,provincetr
53,0,云南省,provincetr
54,0,西藏自治区,provincetr
61,0,陕西省,provincetr
62,0,甘肃省,provincetr
63,0,青海省,provincetr
64,0,宁夏回族自治区,provincetr
65,0,新疆维吾尔自治区,provincetr
